gene_id	score
TSPAN6	6.94909814915126e-05
TNMD	3.33193828234895000e-03
DPM1	3.255771845914050000e-04
SCYL3	-2.19962571148798e-05
C1orf112	1.13932578588977000e-03
FUCA2	2.986756313713630000e-04
GCLC	9.087657494170690000e-04
NFYA	-8.75760849046007e-05
STPG1	4.239559427612060000e-04
NIPAL3	-3.280838541561310000e-04
LAS1L	7.180819247524110000e-04
ENPP4	3.300762102501290000e-04
SEMA3F	-3.532839693281610000e-04
CFTR	3.972813176984340000e-04
ANKIB1	3.171935647577570000e-04
CYP51A1	8.059087508578950000e-04
KRIT1	9.21988401182705e-05
RAD52	-2.863595085435650000e-04
BAD	-9.480082879924790000e-04
LAP3	5.251630023962540000e-04
CD99	-2.14740941001544000e-03
HS3ST1	-1.32980633574398000e-03
MAD1L1	-2.766743486206670000e-04
LASP1	-6.134243017766550000e-04
SNX11	5.164149644525290000e-04
TMEM176A	1.97875596395773000e-03
M6PR	8.110939128884050000e-04
KLHL13	8.947844694385860000e-04
ICA1	1.62246915322623000e-03
DBNDD1	1.3650867499633000e-03
ALS2	2.7035843968413e-05
CASP10	1.19002707680222000e-03
CFLAR	-1.6692412233027000e-03
TFPI	-2.25165516182357000e-03
NDUFAF7	1.32287771803623000e-03
RBM5	-1.02376474414725000e-03
MTMR7	1.6353735409924000e-03
SLC7A2	4.292117292377650000e-04
ARF5	-4.667179969083360000e-04
SARM1	-6.33356316665752e-05
POLDIP2	4.71690863964482e-05
PLXND1	-8.298163294483490000e-04
AK2	8.96500354613856e-05
FKBP4	9.263190045850110000e-04
KDM1A	-4.6240434092341000e-03
RBM6	-8.19567840600195e-05
CAMKK1	1.1567985915718000e-03
RECQL	3.258065151870060000e-04
VPS50	-2.92539918279997e-05
HSPB6	-9.634113752676980000e-04
ARHGAP33	-3.929842110000580000e-04
NDUFAB1	3.230640702884680000e-04
ZMYND10	-2.27667613917782000e-03
ARX	-3.71042831688808000e-03
SLC25A13	3.219819965599310000e-04
ST7	4.446129890158010000e-04
CDC27	-1.027160595152450000e-04
CALCR	-2.390582200137940000e-04
HCCS	6.149816234274990000e-04
DVL2	-3.612397060536390000e-04
PRSS22	-1.2880871897943000e-03
UPF1	4.6458792290096e-05
SKAP2	-3.351633217849620000e-04
SLC25A5	5.281268982620730000e-04
MCUB	1.19522301624452000e-03
POLR2J	1.528711021325160000e-04
DHX33	1.41398706326931000e-03
MEOX1	-3.88090364640137000e-03
THSD7A	-1.06081417889698000e-03
LIG3	4.015329018899520000e-04
RPAP3	3.031326096766030000e-04
ACSM3	1.07890888532773000e-03
REXO5	4.815286064747920000e-04
CIAPIN1	1.544066943825490000e-04
FAM214B	-1.69846674920383000e-03
COPZ2	-5.43642662109124000e-03
PRKAR2B	1.5009463596891000e-03
MSL3	-5.348503085403580000e-04
CREBBP	-6.02816828028079e-05
TSPOAP1	-7.667282547368730000e-04
MPO	1.53645283753403000e-03
GCFC2	1.464522029661170000e-04
WDR54	-2.344286813135130000e-04
CROT	-7.646869780894110000e-04
KMT2E	-3.447867877164670000e-04
RHBDD2	-1.00218219748195000e-03
SOX8	3.53608911872422e-05
IBTK	-3.974584185037560000e-04
ZNF195	9.474422652546740000e-04
MYCBP2	4.557213933872210000e-04
FBXL3	-6.459154951887560000e-04
PDK2	-4.067005446146850000e-04
ITGA3	-7.126436082469690000e-04
ZFX	6.39918830669978e-05
LAMP2	-5.501745943042690000e-04
ITGA2B	1.13993055731948000e-03
GDE1	-2.48931297374835e-05
REX1BD	1.878709366867290000e-04
CRLF1	3.07717765772779e-06
OSBPL7	-5.072909365920830000e-04
TMEM98	-1.13203383107735000e-03
YBX2	2.32529036558751000e-03
ABCC8	3.76159965734648000e-03
TMEM132A	-5.107671362587580000e-04
AP2B1	-2.423001917575760000e-04
TAC1	2.226375304661240000e-04
ZNF263	4.1634896381547e-05
CX3CL1	2.76984351596780000e-04
SPATA20	-7.188127005941170000e-04
CACNA1G	2.835835943560270000e-04
TNFRSF12A	-7.076196377090390000e-04
MAP3K9	6.628947096611160000e-04
RALA	4.759006685433350000e-04
BAIAP2L1	4.092898320615180000e-04
KDM7A	-1.572488150710430000e-04
ETV1	1.95541244151657000e-03
AGK	3.030379419719920000e-04
PHTF2	-1.705077322572910000e-04
CCL26	8.05077095844531000e-03
FARP2	-2.412336312752140000e-04
USH1C	3.455441876772830000e-04
GGCT	1.21252130161635000e-03
DBF4	1.21365251964059000e-03
IFRD1	4.58599892708098e-05
COX10	8.793419040091230000e-04
GTF2IRD1	-4.37684436214520000e-04
PAF1	-1.697208407630890000e-04
VPS41	-1.695767540261490000e-04
ARHGAP44	9.147731171037060000e-04
ELAC2	6.423762922293970000e-04
ARSD	-7.256681850281640000e-04
PNPLA4	-1.458089835833670000e-04
ADIPOR2	-1.312391575098990000e-04
CDKL3	-3.516812830883330000e-04
MARK4	-4.729165208187890000e-04
PROM1	1.01379688946449000e-03
CCDC124	-8.68493266422249e-05
PAFAH1B1	-3.294946793692920000e-04
NOS2	-8.255313884363420000e-04
KIAA0100	1.089476132447470000e-04
GAS7	-1.6230508680382000e-03
TRAPPC6A	1.682561061074570000e-04
MATK	3.01405537076493000e-03
SCN4A	2.49124132046847000e-03
ST7L	-4.822682768208780000e-04
PAX6	-4.85149669810024000e-03
RPUSD1	6.137078933125150000e-04
RHBDF1	-9.776907607543930000e-04
LUC7L	-6.41561898356077e-05
CACNA2D2	1.52180619060648000e-03
BAIAP3	-1.0664373628622000e-03
TSR3	-7.80731794689688e-05
PIGQ	-6.6169563055590000e-04
CRAMP1	1.493259351640460000e-04
TEAD3	-8.724554913280170000e-04
DNAJC11	6.844626200763350000e-04
MYLIP	8.745117992324430000e-04
PSMB1	5.0412256634739e-05
SYN1	2.04756098018409000e-03
JARID2	1.98372548351756000e-03
CDKL5	6.2405752944290000e-04
CAMK1G	6.296524746298640000e-04
CDK11A	1.391815273081450000e-04
NADK	2.683642128973660000e-04
TFAP2B	-3.0839770142698000e-03
CYTH3	-2.027895230190680000e-04
ADAM22	1.75304748207518000e-03
SYPL1	-3.66349038116904e-05
CYB561	3.384208905010770000e-04
SPAG9	-7.243915944632490000e-04
CELSR3	4.830512988526370000e-04
AASS	3.20849448272661000e-03
PLEKHG6	1.11221354334732000e-03
SS18L2	1.31426933631894000e-03
MPND	-1.77282872067972e-05
MGST1	1.78495664193963000e-03
CRY1	-3.454009393960860000e-04
NFIX	-1.344576881115000e-03
ST3GAL1	-1.68204541576999000e-03
MMP25	3.18565243563788000e-03
IL32	-8.894082542161190000e-04
PKD1	-3.112002712408550000e-04
MAPK8IP2	3.853513257692160000e-04
MED24	-9.0627778189168e-05
RHOBTB2	-6.313240258547330000e-04
HEATR5B	-1.09071112474420000e-04
SEC62	-1.672313589067550000e-04
RPS20	-1.668429569479310000e-04
CSDE1	6.39321323297859e-05
UBE3C	1.848152599456610000e-04
REV3L	-1.03883553669701000e-03
FAM76A	5.962425397514510000e-04
POMT2	-4.796709531531990000e-04
VTA1	2.735566083745950000e-04
MLXIPL	2.09231589770986000e-03
BAZ1B	2.17060361655420000e-04
RANBP9	-4.077159976408330000e-04
SPRTN	1.345604503268140000e-04
METTL13	1.02076566173625000e-03
DYRK4	-7.201273874866070000e-04
ZNF207	3.147899291934260000e-04
UQCRC1	-6.24488980399855e-05
STARD3NL	-4.569794257276870000e-04
CD9	1.49817347477787000e-03
